"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"301407","300088","298595","296786","294791","292039","288945","286185","282204","277946","273398","269118","265107","262027","259695","256439","254618","252696","250404",,,,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1356961","1366552","1375354","1379641","1383450","1382966","1377756","1369563","1359214","1353631","1352616","1349605","1347162","1344047","1346600","1346051","1345270","1343582","1340148",,,,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1501334","1505028","1502652","1493372","1479541","1464140","1450202","1439757","1429727","1422935","1417522","1410090","1403504","1398215","1392957","1386023","1378491","1373069","1366857",,,,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2596114","2593310","2584310","2569080","2553314","2531839","2503548","2470063","2418879","2372603","2334187","2301795","2272917","2249512","2230416","2209453","2194559","2181147","2164668",,,,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1289715","1291261","1288795","1283687","1281946","1280557","1282381","1285074","1284179","1284103","1283284","1280883","1277500","1278711","1282700","1285300","1291882","1298811","1302615",,,,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"774353","768418","763148","759447","760410","760870","756990","761171","760572","758539","753552","747664","741819","735564","731444","726375","721030","714353","706138",,,,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1428383","1426575","1424513","1421927","1420956","1422978","1428324","1431346","1428945","1426603","1423925","1413967","1404818","1397659","1393123","1389650","1385993","1382422","1376751",,,,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"230067","227118","224772","223012","221999","221685","221930","223135","223814","223675","223393","223113","222879","224381","225508","226587","227957","229243","229434",,,,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450380","448307","447714","447444","448360","448918","450098","451946","453787","456543","459743","460850","462471","464517","467315","470532","473700","475750","476841",,,,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"516018","534708","552816","568963","591314","611595","634403","654053","662621","666041","663315","657703","655307","656116","659946","667343","674878","681303","688997",,,,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"310352","311877","312743","311412","309243","307403","305169","300918","296029","290850","285917","281234","276349","271852","267887","264919","262630","260450","258170",,,,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2088885","2102838","2116591","2126014","2129051","2121878","2106403","2091023","2076366","2068684","2061667","2047412","2028470","2011104","1997925","1983364","1970473","1962001","1953631",,,,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508132","503404","502779","500777","501184","502612","505125","508725","511214","515470","518504","517279","513447","509329","503922","499292","494785","488380","482153",,,,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4687374","4672425","4652232","4619506","4574065","4514456","4457777","4410949","4372170","4342926","4319807","4296116","4264992","4236272","4205535","4180315","4148280","4109166","4068092",,,,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1967626","2003782","2034451","2060838","2085165","2122485","2166393","2219168","2252101","2272955","2281349","2281469","2279958","2280343","2283124","2286738","2293538","2299943","2300622",,,,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160477","156113","153097","150406","149128","148119","147331","147263","147462","148674","150409","152739","157312","163396","168573","174154","175364","176373","178697",,,,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2886585","2878123","2865674","2849573","2836068","2819794","2804828","2790347","2768968","2748051","2723164","2694376","2668682","2653971","2642892","2631390","2618182","2607591","2593325",,,,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"891847","885218","884961","883959","881606","885316","894761","904328","910617","922711","931498","936148","940803","949130","954857","961306","962350","959173","956433",,,,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"847511","848663","850733","850251","846786","849323","857003","862161","865664","866194","866023","864713","861194","857970","860197","863463","870667","873798","873567",,,,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2918850","2905836","2894935","2883270","2873125","2859793","2850778","2839574","2821004","2804929","2786430","2763820","2740151","2718128","2703305","2689671","2675025","2663231","2648911",,,,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248065","248296","248690","248075","246228","241932","237348","233655","229798","225902","223485","220546","217541","214882","212488","210691","209001","206899","205202",,,,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1010641","1016134","1020531","1023785","1029111","1036941","1050042","1064190","1074116","1079729","1079243","1075800","1076071","1077218","1082936","1091181","1097492","1103021","1105655",,,,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"202681","200795","198694","197326","196804","196476","197332","198847","199848","201204","203212","204022","205499","207765","209653","211155","213763","216151","217606",,,,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1399685","1407578","1414857","1424861","1433343","1449326","1470166","1482747","1494354","1494687","1494690","1491410","1491756","1492118","1495089","1499226","1502872","1506196","1506219",,,,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5906301","5980187","6060372","6132980","6208259","6290970","6446798","6565872","6675917","6792907","6877606","6933728","6991156","7053862","7142469","7240925","7316392","7365791","7398009",,,,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"721686","726819","733517","740483","751771","767888","789957","815496","837258","857853","874022","881982","888588","897446","903790","910592","920274","927441","932462",,,,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147549","146040","144441","142718","141068","138933","136731","134695","132600","130450","128801","126996","124926","123114","121552","120090","118288","116981","115973",,,,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1741420","1754549","1771247","1782254","1801958","1816270","1826368","1834386","1838361","1845132","1854870","1857143","1861872","1863735","1864659","1867071","1869112","1870944","1869737",,,,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1516361","1517527","1517655","1514877","1520751","1523890","1536926","1549582","1560302","1574403","1582791","1586256","1588536","1593442","1601850","1614360","1632927","1651817","1663283",,,,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401062","395307","393569","392460","391856","390431","390637","390661","390210","389036","387242","385564","384472","382451","380798","378231","374348","369122","364160",,,,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1370440","1367593","1365315","1358505","1354643","1349866","1348785","1348901","1345573","1342411","1336983","1326328","1316739","1308805","1302117","1295144","1288339","1283017","1276101",,,,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"128774","126212","125495","124182","123974","124022","125525","128760","131511","134960","135486","135370","136382","137669","138364","139552","138773","136247","134775",,,,
"        Working-age (16-64) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146228559","148208039","149865297","151358359","152791366","154216286","155758958","157278129","158587206","159657205","160886927","162612367","164469033","166383577","168328848","170372622","172671282","175179882","177757791","180352215","182748324","185144529","187442080","189443100","191685314","193890786","196292581","198359386","200089979","201800866","203415557","204897246","205474161","206191071","206982288","207803480","208640840","209242702","209463946","209501831","211828509","211564006","211658752"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2876952","2892072","2907136","2928447","2951770","2981123","3025341","3057215","3083049","3110547","3112161","3119564","3114216","3113427","3108550","3104307","3099320","3093793","3084744","3077388","3069690",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"422758","429468","437559","443486","453165","460145","467343","471697","476476","481603","469451","477311","479308","479470","477745","475680","475519","470973","466006","460904","455815",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3260230","3339609","3426523","3502343","3598558","3720558","3850578","3938826","4001648","4037583","4051162","4096541","4128892","4161222","4209431","4259409","4319194","4373261","4434230","4500141","4569981",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1703339","1716921","1731108","1745996","1764875","1786178","1812985","1829955","1843302","1854991","1861796","1874514","1871381","1869900","1868386","1870535","1873206","1874242","1872073","1869484","1868834",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22089960","22497946","22832809","23134030","23424757","23662735","23897624","24114249","24369979","24631415","24731688","24950909","25088235","25231569","25392146","25525330","25627869","25683507","25670553","25579423","25447648",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2924548","2999331","3048836","3073299","3108275","3144330","3203270","3255611","3308145","3356572","3366603","3413272","3443996","3482403","3526663","3589597","3646820","3687052","3731440","3766054","3791467",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2186449","2206069","2231611","2254295","2269811","2287645","2305971","2317723","2329911","2343084","2349500","2360036","2356180","2352630","2349372","2340786","2329518","2319201","2309350","2292288","2275827",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"510600","518034","526359","535187","544376","554622","564383","572665","579249","583778","584678","589224","589835","591612","594687","597403","598848","599774","600997","602811","604689",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"399234","402477","402499","400794","402256","404378","411184","416587","423125","434255","443388","454374","463002","471711","477471","484602","490110","494938","498308","498716","499976",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9987284","10230636","10491666","10735314","11046623","11366264","11636707","11787490","11867854","11935265","11980422","12107496","12189341","12290773","12430937","12610908","12816856","12989535","13104906","13174691","13258297",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5496806","5600898","5690531","5763438","5870330","5965693","6119261","6242115","6335615","6410969","6404565","6450946","6489377","6507957","6545403","6599949","6672849","6730524","6777413","6829827","6864370",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"790410","801232","812924","821473","838541","853817","868637","871895","882000","888233","858662","864494","865226","864698","861769","859413","858714","850630","843044","832106","821295",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"826949","842548","856828","872502","891675","914252","939398","960837","975664","985181","987057","994550","998350","1004082","1012363","1021759","1039761","1059439","1076925","1097424","1118881",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8045605","8102571","8150487","8183841","8227311","8262915","8316558","8364586","8400802","8439392","8437934","8470877","8450835","8438750","8411854","8366939","8311641","8257309","8184770","8109595","8022269",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3939622","3969303","3996157","4027527","4055847","4089932","4129790","4160837","4184408","4205888","4220803","4241397","4238428","4246507","4248875","4244480","4248160","4247928","4253127","4254582","4251470",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1847681","1855660","1863694","1872523","1883695","1894758","1909250","1920728","1930290","1940694","1950609","1962123","1962204","1967890","1972198","1972484","1970896","1968638","1961923","1959383","1952604",,
